Section;Group;Code;Muc_dich;Muc_tieu;Cach_lam;Do_luong;Owner;Nguon_luc;Start;End
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > I. DOANH THU HIỆN TẠI;F1.1;Tăng doanh thu kênh GT;Tăng 12% doanh thu GT;Mở rộng điểm bán và chăm sóc NPP;Doanh thu GT;Sales GT;Trade budget 20 tỷ;2026-01-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > I. DOANH THU HIỆN TẠI;F1.2;Tăng doanh thu kênh MT;Tăng 10% doanh thu MT;Đàm phán key account và planogram;Doanh thu MT;Sales MT;Listing budget 15 tỷ;2026-01-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > I. DOANH THU HIỆN TẠI;F1.3;Tăng doanh thu online;Tăng 30% GMV online;Tối ưu SEO ads và CRM;GMV online;E-commerce;Digital budget 8 tỷ;2026-01-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > I. DOANH THU HIỆN TẠI;F1.4;Tăng doanh thu miền Bắc;Tăng 15% doanh thu miền Bắc;Mở thêm NPP và đội sales khu vực;Doanh thu miền Bắc;Regional Sales;Tuyển dụng 30 sales;2026-01-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > I. DOANH THU HIỆN TẠI;F1.5;Đẩy doanh thu sản phẩm chủ lực;Tăng 18% doanh thu 3 SKU core;Trưng bày và promo trọng điểm;Sell-out SKU core;Trade Marketing;POSM và sampling;2026-01-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > I. DOANH THU HIỆN TẠI;F1.6;Tăng giá trị đơn hàng;Tăng 8% AOV;Bundle và cross-sell;AOV;CRM/Brand;Ưu đãi bundle;2026-01-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > II. DOANH THU CƠ HỘI MỚI;F2.1;Mở rộng doanh thu từ sản phẩm mới;Ra mắt 5 sản phẩm mới;NPD pipeline và test market;Số sản phẩm mới;R&D/Marketing;Ngân sách R&D 12 tỷ;2026-03-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > II. DOANH THU CƠ HỘI MỚI;F2.2;Tăng doanh thu xuất khẩu;Doanh thu xuất khẩu 200 tỷ;Chọn 3 thị trường ưu tiên;Doanh thu xuất khẩu;Export;Pháp lý và distributor;2026-03-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > II. DOANH THU CƠ HỘI MỚI;F2.3;Doanh thu từ hợp tác OEM;Ký 2 hợp đồng OEM;Đàm phán đối tác quốc tế;Số hợp đồng OEM;BD;Pháp lý và QA;2026-04-01;2026-12-31
F. TẦNG TÀI CHÍNH;A. CHIẾN LƯỢC TĂNG TRƯỞNG > II. DOANH THU CƠ HỘI MỚI;F2.4;Doanh thu kênh HoReCa;Tăng 20% doanh thu HoReCa;Phát triển menu và bundle;Doanh thu HoReCa;Key Account;Đội sales horeca;2026-02-01;2026-12-31
